code;name;in_stock_balance;created_at;is_weight
7437;Труба проф. 120х120х 5 ст20;2.205;2026-01-01;FALSE
7438;Труба проф. 120х120х 6 ст20;5.06;2026-01-01;FALSE
7439;Труба проф. 120х120х 6 ст20;0.885;2026-01-01;FALSE
7441;Труба проф. 120х120х 8 ст20;21.514;2026-01-01;FALSE
7442;Труба проф. 120х120х10 ст20;7.762;2026-01-01;FALSE
7443;Труба проф. 120х120х12 ст20;2.12;2026-01-01;FALSE
7446;Труба проф. 100х100х 5 ст09Г2С;1.85;2026-01-01;FALSE
7447;Труба проф. 100х100х 6 ст09Г2С;0.265;2026-01-01;FALSE
7448;Труба проф. 100х100х 8 ст09Г2С;3.76;2026-01-01;FALSE
7450;Труба проф. 100х100х 5 ст20;6.71;2026-01-01;FALSE
7451;Труба проф. 100х100х 6 ст20;17.585;2026-01-01;FALSE
7453;Труба проф. 100х100х 8 ст20;16.8;2026-01-01;FALSE
7455;Труба проф. 100х100х10 ст20;18.285;2026-01-01;FALSE
7458;Труба проф. 100х100х 8 ст35;0.53;2026-01-01;FALSE
7460;Труба проф. 110х110х 8 ст09Г2С;16.165;2026-01-01;FALSE
7461;Труба проф. 110х110х 6 ст20;3.805;2026-01-01;FALSE
7463;Труба проф. 140х140х 5 ст09Г2С;0.24;2026-01-01;FALSE
7464;Труба проф. 140х140х 6 ст09Г2С;0.74;2026-01-01;FALSE
7465;Труба проф. 140х140х 8 ст09Г2С;11.91;2026-01-01;FALSE
7466;Труба проф. 140х140х10 ст09Г2С;2.94;2026-01-01;FALSE
7467;Труба проф. 140х140х12 ст09Г2С;15.37;2026-01-01;FALSE
7468;Труба проф. 140х140х 6 ст20;6.11;2026-01-01;FALSE
7470;Труба проф. 140х140х 8 ст20;16.91;2026-01-01;FALSE
7471;Труба проф. 140х140х10 ст20;0.45;2026-01-01;FALSE
7472;Труба проф. 140х140х12 ст20;9.35;2026-01-01;FALSE
7474;Труба проф. 140х140х 9 ст35;2.54;2026-01-01;FALSE
7478;Труба проф. 150х150х 6 ст09Г2С;0.24;2026-01-01;FALSE
7479;Труба проф. 150х150х 8 ст09Г2С;10.68;2026-01-01;FALSE
7480;Труба проф. 150х150х10 ст09Г2С;0.85;2026-01-01;FALSE
7481;Труба проф. 150х150х12 ст09Г2С;1.502;2026-01-01;FALSE
7482;Труба проф. 150х150х 6 ст20;6.63;2026-01-01;FALSE
7483;Труба проф. 150х150х 8 ст20;14.92;2026-01-01;FALSE
7484;Труба проф. 150х150х10 ст20;4.295;2026-01-01;FALSE
7485;Труба проф. 150х150х12 ст20;3.607;2026-01-01;FALSE
7486;Труба проф. 160х160х 6 ст09Г2С;1.67;2026-01-01;FALSE
7488;Труба проф. 160х160х 8 ст09Г2С;2.09;2026-01-01;FALSE
7489;Труба проф. 160х160х10 ст09Г2С;1.06;2026-01-01;FALSE
7490;Труба проф. 160х160х12 ст09Г2С;2.21;2026-01-01;FALSE
7491;Труба проф. 160х160х 6 ст20;3.18;2026-01-01;FALSE
7492;Труба проф. 160х160х 8 ст20;1.515;2026-01-01;FALSE
7493;Труба проф. 160х160х10 ст20;5.18;2026-01-01;FALSE
7494;Труба проф. 160х160х12 ст20;12.77;2026-01-01;FALSE
7497;Труба проф. 180х180х 8 ст09Г2С;2.19;2026-01-01;FALSE
7499;Труба проф. 180х180х12 ст09Г2С;11.24;2026-01-01;FALSE
7500;Труба проф. 180х180х 6 ст20;3.84;2026-01-01;FALSE
7501;Труба проф. 180х180х 7 ст20;4;2026-01-01;FALSE
7502;Труба проф. 180х180х 8 ст20;4.82;2026-01-01;FALSE
7503;Труба проф. 180х180х10 ст20;0.82;2026-01-01;FALSE
7504;Труба проф. 180х180х12 ст20;3.46;2026-01-01;FALSE
7505;Труба проф. 180х180х10 ст35;7.59;2026-01-01;FALSE
7506;Труба проф. 200х200х 8 ст09Г2С;2.825;2026-01-01;FALSE
7508;Труба проф. 200х200х 7 ст20;4.24;2026-01-01;FALSE
7509;Труба проф. 200х200х 8 ст20;0.5;2026-01-01;FALSE
7510;Труба проф. 200х200х10 ст20;11.16;2026-01-01;FALSE
7511;Труба проф. 200х200х12 ст20;5.86;2026-01-01;FALSE
7512;Труба проф. 260х260х 8 ст20;2.81;2026-01-01;FALSE
7514;Труба проф. 90х90х 6 ст09Г2С;0;2026-01-01;FALSE
7515;Труба проф. 90х90х 5 ст20;0.15;2026-01-01;FALSE
7516;Труба проф. 90х90х 6 ст20;1.59;2026-01-01;FALSE
7517;Труба проф. 90х90х 7 ст20;2.01;2026-01-01;FALSE
7518;Труба проф. 90х90х 8 ст20;3.62;2026-01-01;FALSE
7519;Труба проф. 90х90х10 ст20;2.752;2026-01-01;FALSE
7520;Труба проф. 80х80х 4 ст09Г2С;2.45;2026-01-01;FALSE
7521;Труба проф. 80х80х 5 ст09Г2С;1.745;2026-01-01;FALSE
7522;Труба проф. 80х80х 6 ст09Г2С;0;2026-01-01;FALSE
7523;Труба проф. 80х80х 8 ст09Г2С;5.5;2026-01-01;FALSE
7524;Труба проф. 80х80х10 ст09Г2С;14.445;2026-01-01;FALSE
7525;Труба проф. 80х80х 4 ст20;2.17;2026-01-01;FALSE
7526;"Труба проф. 80х80х 4,5 ст20";1.83;2026-01-01;FALSE
7527;Труба проф. 80х80х 5 ст20;0.075;2026-01-01;FALSE
7528;Труба проф. 80х80х 6 ст20;6.99;2026-01-01;FALSE
7530;Труба проф. 80х80х 8 ст20;17.68;2026-01-01;FALSE
7531;Труба проф. 80х80х10 ст20;16.095;2026-01-01;FALSE
7532;Труба проф. 80х80х 6 ст35;14.48;2026-01-01;FALSE
7533;Труба проф. 80х80х 8 ст35;0;2026-01-01;FALSE
7534;Труба проф. 70х70х 5 ст09Г2С;3.34;2026-01-01;FALSE
7536;Труба проф. 70х70х 4 ст20;3.055;2026-01-01;FALSE
7537;Труба проф. 70х70х 5 ст20;3.16;2026-01-01;FALSE
7538;Труба проф. 70х70х 6 ст20;3.94;2026-01-01;FALSE
7540;Труба проф. 70х70х 8 ст20;2.65;2026-01-01;FALSE
7541;Труба проф. 60х60х 4 ст09Г2С;0.24;2026-01-01;FALSE
7542;Труба проф. 60х60х 5 ст09Г2С;2.23;2026-01-01;FALSE
7543;Труба проф. 60х60х 6 ст09Г2С;0.14;2026-01-01;FALSE
7544;Труба проф. 60х60х 4 ст20;0.89;2026-01-01;FALSE
7545;Труба проф. 60х60х 5 ст20;1.767;2026-01-01;FALSE
7546;Труба проф. 60х60х 6 ст20;3.09;2026-01-01;FALSE
7548;Труба проф. 60х60х 5 ст35;3.43;2026-01-01;FALSE
7550;Труба проф. 50х50х 4 ст09Г2С;5.26;2026-01-01;FALSE
7551;Труба проф. 50х50х 5 ст09Г2С;4.98;2026-01-01;FALSE
7552;Труба проф. 50х50х 6 ст09Г2С;4.605;2026-01-01;FALSE
7553;Труба проф. 50х50х 4 ст20;1.145;2026-01-01;FALSE
7554;Труба проф. 50х50х 5 ст20;2.122;2026-01-01;FALSE
7555;Труба проф. 50х50х 6 ст20;2.564;2026-01-01;FALSE
7556;Труба проф. 50х50х 4 ст35;0.35;2026-01-01;FALSE
